"syllabification","corrSyl","corrAns","leftKey","rightKey","condition"
"caldera","CAL","2.0","CAL","CA","AB"
"cantera","CAN","2.0","CAN","CA","AB"
"ciruela","CI","3.0","CIR","CI","AB"
"culata","CU","3.0","CUL","CU","AB"
"gustazo","GUS","2.0","GUS","GU","AB"
"latencia","LA","3.0","LAT","LA","AB"
"pericia","PE","3.0","PER","PE","AB"
"pupila","PU","3.0","PUP","PU","AB"
"sendero","SEN","2.0","SEN","SE","AB"
"sordina","SOR","2.0","SOR","SO","AB"
"caldera","CAL","3.0","CA","CAL","CD"
"cantera","CAN","3.0","CA","CAN","CD"
"ciruela","CI","2.0","CI","CIR","CD"
"culata","CU","2.0","CU","CUL","CD"
"gustazo","GUS","3.0","GU","GUS","CD"
"latencia","LA","2.0","LA","LAT","CD"
"pericia","PE","2.0","PE","PER","CD"
"pupila","PU","2.0","PU","PUP","CD"
"sendero","SEN","3.0","SE","SEN","CD"
"sordina","SOR","3.0","SO","SOR","CD"
