practiceListD,practiceListD0,practiceListD1,practiceListD2,practiceListD3,practiceListD4,practiceListD5,practiceListD6,practiceListD7
listLabel,RealP2,RealP4,PseudoP2,PseudoP3,RealP3,PseudoP1,PseudoP4,RealP1
targetSyl,si,cos,sil,ven,ve,de,co,del
carrierItem,silicio,costumbre,siledio,ventemia,vendimia,deletio,cosdombre,delirio
filleritem1,bacteria,ranura,nencida,parvaza,piropo,porvama,navura,burrada
filleritem2,confianza,rivera,farime,rodaso,sarcasmo,bascana,remivio,tungsteno
filleritem3,congreso,vergüenza,bonjeta,sutnido,gozada,gaferdo,vavipo,varilla
filleritem4,verruga,largueza,mordiso,cortupto,sordera,rorencio,dabtura,ropero
filleritem5,concepto,rabillo,vangurdo,tolina,rasguño,tusvuja,tencrido,forraje
filleritem6,reguero,regato,tocida,simona,cizalla,vantema,dezida,ramaje
filleritem7,noviazgo,ternera,tenvila,jagito,pocilga,vinsosta,fensuace,batuta
filleritem8,donaire,pureza,devillo,foscillo,cigoto,nocena,galgango,turbante
filleritem9,recodo,percance,rofiolo,tosaba,cornisa,ricobo,binima,sufragio
