,syllabification,corrSyl,corrAns,keyCVC,keyCV,Condition
24,baldosa,bal,1.0,bal,ba,B
25,palmera,pal,1.0,pal,pa,B
26,bolsillo,bol,1.0,bol,bo,B
27,voltaje,vol,1.0,vol,vo,B
28,culpable,cul,1.0,cul,cu,B
29,garganta,gar,1.0,gar,ga,B
30,cerveza,cer,1.0,cer,ce,B
31,permiso,per,1.0,per,pe,B
32,corbata,cor,1.0,cor,co,B
33,corteza,cor,1.0,cor,co,B
34,jornada,jor,1.0,jor,jo,B
35,morcillo,mor,1.0,mor,mo,B
36,muralla,mu,2.0,mur,mu,B
37,ceniza,ce,2.0,cen,ce,B
38,linaje,li,2.0,lin,li,B
39,moneda,mo,2.0,mon,mo,B
40,camisa,ca,2.0,cam,ca,B
41,limosna,li,2.0,lim,li,B
42,casilla,ca,2.0,cas,ca,B
43,peseta,pe,2.0,pes,pe,B
44,cosecha,co,2.0,cos,co,B
45,rosario,ro,2.0,ros,ro,B
46,ganancia,ga,2.0,gan,ga,B
47,pasaje,pa,2.0,pas,pa,B
