"Author","Experiment","Min.ms.","Max.ms.","Removal...","Effect"
"Savin, H. B., & Bever, T. G. (1970)","1","9999","9999","9999","No Data"
"Savin, H. B., & Bever, T. G. (1970)","2","9999","9999","9999","No Data"
"Savin, H. B., & Bever, T. G. (1970)","3","9999","9999","9999","No Data"
"Foss, D. J., & Swinney, D. A. (1973)","1","9999","9999","9999","No Data"
"Foss, D. J., & Swinney, D. A. (1973)","2","9999","9999","9999","No Data"
"McNeill, D., & Lindig, K. (1973)","1","9999","9999","9999","No Data"
"Healy, A. F., & Cutting, J. E. (1976)","1","9999","9999","9999","No Data"
"Healy, A. F., & Cutting, J. E. (1976)","2","9999","9999","9999","No Data"
"Mehler, J., Dommergues, J. Y., Frauenfelder, U., & Segui, J. (1981)","1","9999","9999","9999","No Data"
"Mehler, J., Dommergues, J. Y., Frauenfelder, U., & Segui, J. (1981)","2","9999","9999","9999","No Data"
"Segui, J., Frauenfelder, U., & Mehler, J. (1981)","1","9999","9999","9999","No Data"
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1986)","1","9999","9999","9999","No Data"
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1986)","2","9999","9999","9999","No Data"
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1986)","3","9999","9999","9999","No Data"
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1986)","4","9999","9999","9999","No Data"
"Morais, J., Bertelson, P., Cary, L., & Alegria, J. (1986)","4","9999","9999","9999","No Data"
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)","1","9999","9999","9999","No Data"
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)","2","9999","9999","9999","No Data"
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)","3","9999","9999","9999","No Data"
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)","4","9999","9999","9999","No Data"
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)","5","9999","9999","9999","No Data"
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)","6","9999","9999","9999","No Data"
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1987/4)","7","9999","9999","9999","No Data"
"Norris, D., & Cutler, A. (1988)","1","9999","9999","9999","No Data"
"Pitt, M. A., & Samuel, A. G. (1990)","1","9999","9999","9999","No Data"
"Pitt, M. A., & Samuel, A. G. (1990)","2","9999","9999","9999","No Data"
"Pitt, M. A., & Samuel, A. G. (1990)","3","9999","9999","9999","No Data"
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1992)","1","9999","9999","9999","No Data"
"Cutler, A., Mehler, J., Norris, D., & Segui, J. (1992)","2","9999","9999","9999","No Data"
"Sebastián-Gallés, N., Dupoux, E., Seguí, J., & Mehler, J. (1992)","1","100","1000","2.5","No Data"
"Sebastián-Gallés, N., Dupoux, E., Seguí, J., & Mehler, J. (1992)","2","100","1000","2.5","No Data"
"Sebastián-Gallés, N., Dupoux, E., Seguí, J., & Mehler, J. (1992)","3","300","1300","5","No Data"
"Bradley, D. C., Sánchez-Casas, R. M., & García-Albea, J. E. (1993)","1","9999","9999","9999","No Data"
"Bradley, D. C., Sánchez-Casas, R. M., & García-Albea, J. E. (1993)","2","9999","9999","9999","No Data"
"Bradley, D. C., Sánchez-Casas, R. M., & García-Albea, J. E. (1993)","3","9999","9999","9999","No Data"
"Bradley, D. C., Sánchez-Casas, R. M., & García-Albea, J. E. (1993)","4","9999","9999","9999","No Data"
"Bradley, D. C., Sánchez-Casas, R. M., & García-Albea, J. E. (1993)","5","9999","9999","9999","No Data"
"Pallier, C., Sebastián-Gallés, N., Felguera, T., & Christophe, A. (1993)","1","9999","9999","9999","No Data"
"Pallier, C., Sebastián-Gallés, N., Felguera, T., & Christophe, A. (1993)","2","9999","9999","9999","No Data"
"Pallier, C., Sebastián-Gallés, N., Felguera, T., & Christophe, A. (1993)","3","9999","9999","9999","No Data"
"Pallier, C., Sebastián-Gallés, N., Felguera, T., & Christophe, A. (1993)","4","9999","9999","9999","No Data"
"Pallier, C., Sebastián-Gallés, N., Felguera, T., & Christophe, A. (1993)","5","9999","9999","9999","No Data"
"Tabossi, P., Collina, S., Mazzetti, M., & Zoppello, M. (2000)","1","9999","9999","9999","No Data"
"Tabossi, P., Collina, S., Mazzetti, M., & Zoppello, M. (2000)","2","9999","9999","9999","No Data"
"Tabossi, P., Collina, S., Mazzetti, M., & Zoppello, M. (2000)","3","9999","9999","9999","No Data"
"Tabossi, P., Collina, S., Mazzetti, M., & Zoppello, M. (2000)","4","9999","9999","9999","No Data"
